Cities,Average_Home_Price
New York,637777.56
Los Angeles,657871.89
Seattle,872661.0
Chicago,489644.44
Houston,234854.11
Dallas,419166.67
Austin,375422.22
San Francisco,1044654.22
Denver,527000.0
Boston,546100.0
Cincinnati,277311.11
Miami,536988.89
San Diego,688744.44
Tucson,308433.33
Salt Lake City,537098.89
Honolulu,1018100.0
Portland,530555.44
Detroit,154877.78
Sacramento,412522.0
San Jose,916611.0
New Orleans,351333.33
Atlanta,376544.33
Minneapolis,308611.11
Orlando,339211.11
Phoenix,408761.0
